Type;Code_Département;Nom_Département;E_0_19_ans;E_20_39_ans;E_40_59_ans;E_60_74_ans;E_75_et_plus;E_Total;F_0_19_ans;F_20_39_ans;F_40_59_ans;F_60_74_ans;F_75_et_plus;F_Total;H_0_19_ans;H_20_39_ans;H_40_59_ans;H_60_74_ans;H_75_et_plus;H_Total;Année;Code_Département_Num
Métropole;FRM;France métropolitaine;15407747;16899169;11494323;6714989;65834837;15318609;7746431;8597255;6102042;4040783;33951015;7464504;7661316;8301914;5392281;2674206;31883822;7854105;2023;
DOM;DOM;Départements d'Outre-Mer;506296;547164;318340;134775;2207754;701179;278556;296851;167658;79676;1171199;348458;227740;250313;150682;55099;1036555;352721;2023;
Métropole + DOM;FMD;France métropolitaine et DOM;15914043;17446333;11812663;6849764;68042591;16019788;8024987;8894106;6269700;4120459;35122214;7812962;7889056;8552227;5542963;2729305;32920377;8206826;2023;
Métropole;FRM;France métropolitaine;15408287;16899971;11481231;6478294;65646837;15379054;7754734;8593404;6091445;3921350;33856914;7495981;7653553;8306567;5389786;2556944;31789923;7883073;2022;
DOM;DOM;Départements d'Outre-Mer;504461;552455;308091;130323;2195754;700424;277102;298610;162341;77348;1163453;348052;227359;253845;145750;52975;1032301;352372;2022;
Métropole + DOM;FMD;France métropolitaine et DOM;15912748;17452426;11789322;6608617;67842591;16079478;8031836;8892014;6253786;3998698;35020367;7844033;7880912;8560412;5535536;2609919;32822224;8235445;2022;
Métropole;FRM;France métropolitaine;15408476;16904096;11436178;6263910;65450219;15437559;7764022;8591041;6063025;3812096;33755185;7525001;7644454;8313055;5373153;2451814;31695034;7912558;2021;
DOM;DOM;Départements d'Outre-Mer;502445;556833;298881;127007;2184905;699739;275936;299525;157679;75807;1156304;347357;226509;257308;141202;51200;1028601;352382;2021;
Métropole + DOM;FMD;France métropolitaine et DOM;15910921;17460929;11735059;6390917;67635124;16137298;8039958;8890566;6220704;3887903;34911489;7872358;7870963;8570363;5514355;2503014;32723635;8264940;2021;
Métropole;FRM;France métropolitaine;15407798;16895468;11229475;6223555;65269154;15512858;7773867;8582853;5946791;3798223;33663513;7561779;7633931;8312615;5282684;2425332;31605641;7951079;2020;
DOM;DOM;Départements d'Outre-Mer;500984;560199;288465;122600;2172696;700448;274722;300453;152142;73473;1148533;347743;226262;259746;136323;49127;1024163;352705;2020;
Métropole + DOM;FMD;France métropolitaine et DOM;15908782;17455667;11517940;6346155;67441850;16213306;8048589;8883306;6098933;3871696;34812046;7909522;7860193;8572361;5419007;2474459;32629804;8303784;2020;
Métropole;FRM;France métropolitaine;15407347;16949555;11004207;6150743;65096768;15584916;7780156;8609436;5822269;3767340;33580661;7601460;7627191;8340119;5181938;2383403;31516107;7983456;2019;
DOM;DOM;Départements d'Outre-Mer;500557;562606;277273;118879;2161214;701899;273143;300719;146780;71786;1141408;348980;227414;261887;130493;47093;1019806;352919;2019;
