annee,code_dept,candidat,total_voix
2017,01,Emmanuel MACRON,173809
2017,02,Marine LE PEN,133939
2017,03,Emmanuel MACRON,106579
2017,04,Emmanuel MACRON,48994
2017,05,Emmanuel MACRON,47211
2017,06,Emmanuel MACRON,278407
2017,07,Emmanuel MACRON,104599
2017,08,Emmanuel MACRON,64424
2017,09,Emmanuel MACRON,47983
2017,10,Emmanuel MACRON,75810
2017,11,Emmanuel MACRON,100901
2017,12,Emmanuel MACRON,109340
2017,13,Emmanuel MACRON,519335
2017,14,Emmanuel MACRON,232615
2017,15,Emmanuel MACRON,55411
2017,16,Emmanuel MACRON,113700
2017,17,Emmanuel MACRON,215465
2017,18,Emmanuel MACRON,90376
2017,19,Emmanuel MACRON,88029
2017,21,Emmanuel MACRON,159645
2017,22,Emmanuel MACRON,236953
2017,23,Emmanuel MACRON,39239
2017,24,Emmanuel MACRON,135533
2017,25,Emmanuel MACRON,158304
2017,26,Emmanuel MACRON,157992
2017,27,Emmanuel MACRON,158858
2017,28,Emmanuel MACRON,122420
2017,29,Emmanuel MACRON,371332
2017,2A,Emmanuel MACRON,31139
2017,2B,Emmanuel MACRON,35680
2017,30,Emmanuel MACRON,194989
2017,31,Emmanuel MACRON,436665
2017,32,Emmanuel MACRON,67571
2017,33,Emmanuel MACRON,515491
2017,34,Emmanuel MACRON,312419
2017,35,Emmanuel MACRON,403347
2017,36,Emmanuel MACRON,68173
2017,37,Emmanuel MACRON,201211
2017,38,Emmanuel MACRON,383197
2017,39,Emmanuel MACRON,79268
2017,40,Emmanuel MACRON,146619
2017,41,Emmanuel MACRON,100789
2017,42,Emmanuel MACRON,218603
2017,43,Emmanuel MACRON,76233
2017,44,Emmanuel MACRON,525200
2017,45,Emmanuel MACRON,195004
2017,46,Emmanuel MACRON,66937
2017,47,Emmanuel MACRON,97418
2017,48,Emmanuel MACRON,26994
2017,49,Emmanuel MACRON,288817
2017,50,Emmanuel MACRON,176664
2017,51,Emmanuel MACRON,144840
2017,52,Emmanuel MACRON,45192
2017,53,Emmanuel MACRON,112192
2017,54,Emmanuel MACRON,198750
2017,55,Emmanuel MACRON,48303
2017,56,Emmanuel MACRON,289594
2017,57,Emmanuel MACRON,282717
2017,58,Emmanuel MACRON,62722
2017,59,Emmanuel MACRON,669806
2017,60,Emmanuel MACRON,202509
2017,61,Emmanuel MACRON,88484
2017,62,Marine LE PEN,382782
2017,63,Emmanuel MACRON,219437
2017,64,Emmanuel MACRON,253617
2017,65,Emmanuel MACRON,79794
2017,66,Emmanuel MACRON,118644
2017,67,Emmanuel MACRON,330941
2017,68,Emmanuel MACRON,203599
2017,69,Emmanuel MACRON,572015
2017,70,Emmanuel MACRON,63541
2017,71,Emmanuel MACRON,166945
2017,72,Emmanuel MACRON,170153
2017,73,Emmanuel MACRON,135118
2017,74,Emmanuel MACRON,249198
2017,75,Emmanuel MACRON,849257
2017,76,Emmanuel MACRON,355441
2017,77,Emmanuel MACRON,369762
2017,78,Emmanuel MACRON,503661
2017,79,Emmanuel MACRON,135827
2017,80,Emmanuel MACRON,153326
2017,81,Emmanuel MACRON,125591
2017,82,Emmanuel MACRON,71988
2017,83,Emmanuel MACRON,266724
2017,84,Emmanuel MACRON,145965
2017,85,Emmanuel MACRON,253914
2017,86,Emmanuel MACRON,143712
2017,87,Emmanuel MACRON,126418
2017,88,Emmanuel MACRON,106076
2017,89,Emmanuel MACRON,88939
2017,90,Emmanuel MACRON,36345
2017,91,Emmanuel MACRON,382650
2017,92,Emmanuel MACRON,590963
2017,93,Emmanuel MACRON,367823
2017,94,Emmanuel MACRON,419145
2017,95,Emmanuel MACRON,342018
2017,971,Emmanuel MACRON,100635
2017,972,Emmanuel MACRON,104307
2017,973,Emmanuel MACRON,21769
2017,974,Emmanuel MACRON,212081
2017,976,Emmanuel MACRON,19140
2017,988,Emmanuel MACRON,47902
2017,987,Emmanuel MACRON,52378
2017,975,Emmanuel MACRON,1467
2017,986,Emmanuel MACRON,4715
2017,971,Emmanuel MACRON,5282
2017,99,Emmanuel MACRON,496344
2022,01,Emmanuel MACRON,9280
2022,02,Emmanuel MACRON,9943
2022,03,Emmanuel MACRON,7305
2022,04,Emmanuel MACRON,5519
2022,05,Emmanuel MACRON,11357
2022,06,Emmanuel MACRON,77297
2022,07,Emmanuel MACRON,3841
2022,08,Emmanuel MACRON,9005
2022,09,Emmanuel MACRON,2964
2022,10,Emmanuel MACRON,11145
2022,11,Emmanuel MACRON,12252
2022,12,Emmanuel MACRON,6562
2022,13,Emmanuel MACRON,187428
2022,14,Emmanuel MACRON,30455
2022,15,Emmanuel MACRON,7288
2022,16,Emmanuel MACRON,10639
2022,17,Emmanuel MACRON,25275
2022,18,Emmanuel MACRON,16619
2022,19,Emmanuel MACRON,12302
2022,21,Emmanuel MACRON,38659
2022,22,Emmanuel MACRON,13204
2022,23,Emmanuel MACRON,3031
2022,24,Emmanuel MACRON,7480
2022,25,Emmanuel MACRON,29357
2022,26,Emmanuel MACRON,16884
2022,27,Emmanuel MACRON,9942
2022,28,Emmanuel MACRON,10617
2022,29,Emmanuel MACRON,37529
2022,2A,Emmanuel MACRON,8280
2022,2B,Emmanuel MACRON,4693
2022,30,Emmanuel MACRON,32631
2022,31,Emmanuel MACRON,127870
2022,32,Emmanuel MACRON,6102
2022,33,Emmanuel MACRON,84829
2022,34,Emmanuel MACRON,69992
2022,35,Emmanuel MACRON,68617
2022,36,Emmanuel MACRON,11176
2022,37,Emmanuel MACRON,37505
2022,38,Emmanuel MACRON,42633
2022,39,Emmanuel MACRON,5856
2022,40,Emmanuel MACRON,8110
2022,41,Emmanuel MACRON,11622
2022,42,Emmanuel MACRON,36084
2022,43,Emmanuel MACRON,4833
2022,44,Emmanuel MACRON,103996
2022,45,Emmanuel MACRON,29582
2022,46,Emmanuel MACRON,5715
2022,47,Emmanuel MACRON,6825
2022,48,Emmanuel MACRON,3136
2022,49,Emmanuel MACRON,45065
2022,50,Emmanuel MACRON,22075
2022,51,Emmanuel MACRON,37984
2022,52,Emmanuel MACRON,5065
2022,53,Emmanuel MACRON,15335
2022,54,Emmanuel MACRON,26661
2022,55,Emmanuel MACRON,3746
2022,56,Emmanuel MACRON,19350
2022,57,Emmanuel MACRON,28127
2022,58,Emmanuel MACRON,7769
2022,59,Emmanuel MACRON,59921
2022,60,Emmanuel MACRON,11803
2022,61,Emmanuel MACRON,6042
2022,62,Emmanuel MACRON,12069
2022,63,Emmanuel MACRON,31991
2022,64,Emmanuel MACRON,20568
2022,65,Emmanuel MACRON,8820
2022,66,Emmanuel MACRON,21619
2022,67,Emmanuel MACRON,71124
2022,68,Emmanuel MACRON,18400
2022,69,Emmanuel MACRON,164535
2022,70,Emmanuel MACRON,3117
2022,71,Emmanuel MACRON,9918
2022,72,Emmanuel MACRON,38370
2022,73,Emmanuel MACRON,14937
2022,74,Emmanuel MACRON,40179
2022,75,Emmanuel MACRON,808107
2022,76,Emmanuel MACRON,39420
2022,77,Emmanuel MACRON,13157
2022,78,Emmanuel MACRON,28452
2022,79,Emmanuel MACRON,19017
2022,80,Emmanuel MACRON,31450
2022,81,Emmanuel MACRON,13795
2022,82,Emmanuel MACRON,15832
2022,83,Emmanuel MACRON,33751
2022,84,Emmanuel MACRON,20484
2022,85,Emmanuel MACRON,18351
2022,86,Emmanuel MACRON,21080
2022,87,Emmanuel MACRON,31526
2022,88,Emmanuel MACRON,8439
2022,89,Emmanuel MACRON,8353
2022,90,Emmanuel MACRON,8725
2022,91,Emmanuel MACRON,14555
2022,92,Emmanuel MACRON,44061
2022,93,Emmanuel MACRON,30432
2022,94,Emmanuel MACRON,27777
2022,95,Emmanuel MACRON,21874
2022,971,Emmanuel MACRON,4172
2022,972,Emmanuel MACRON,9533
2022,973,Emmanuel MACRON,3041
2022,974,Emmanuel MACRON,28539
2022,976,Emmanuel MACRON,3499
2022,988,Emmanuel MACRON,20588
2022,987,Emmanuel MACRON,4435
2022,975,Emmanuel MACRON,1119
2022,986,Emmanuel MACRON,3831
2022,971,Emmanuel MACRON,2591
2022,99,Emmanuel MACRON,43866
1965,01,Charles DE GAULLE,90898
1965,02,Charles DE GAULLE,137901
1965,03,François MITTERRAND,109592
1965,04,François MITTERRAND,28152
1965,05,Charles DE GAULLE,24639
1965,06,Charles DE GAULLE,165877
1965,07,Charles DE GAULLE,74503
1965,08,Charles DE GAULLE,77254
1965,09,François MITTERRAND,48828
1965,10,Charles DE GAULLE,69112
1965,11,François MITTERRAND,96225
1965,12,Charles DE GAULLE,86478
1965,13,François MITTERRAND,334228
1965,14,Charles DE GAULLE,146863
1965,15,Charles DE GAULLE,53236
1965,16,Charles DE GAULLE,89493
1965,17,Charles DE GAULLE,118112
1965,18,Charles DE GAULLE,76460
1965,19,François MITTERRAND,73448
1965,20,Charles DE GAULLE,64375
1965,21,Charles DE GAULLE,97806
1965,22,Charles DE GAULLE,152190
1965,23,François MITTERRAND,45859
1965,24,François MITTERRAND,113186
1965,25,Charles DE GAULLE,108833
1965,26,Charles DE GAULLE,79986
