"Libellé";"PIB en euros par habitant - Guadeloupe";"Codes"
"idBank";"010751781";""
"Dernière mise à jour";"16/04/2024 17:44";""
"Période";"";""
"2022";"25903";"A"
"2021";"23925";"SD"
"2020";"23069";"A"
"2019";"24142";"A"
"2018";"23386";"A"
"2017";"22634";"A"
"2016";"22215";"A"
"2015";"21648";"A"
"2014";"21088";"A"
"2013";"20557";"A"
"2012";"20421";"A"
"2011";"19971";"A"
"2010";"19307";"A"
"2009";"18556";"A"
"2008";"19479";"A"
"2007";"18560";"A"
"2006";"18039";"A"
"2005";"17099";"A"
"2004";"16036";"A"
"2003";"15435";"A"
"2002";"14452";"A"
"2001";"13944";"A"
"2000";"13120";"A"
