"Libellé";"PIB en euros par habitant - Martinique";"Codes"
"idBank";"010751782";""
"Dernière mise à jour";"16/04/2024 17:44";""
"Période";"";""
"2022";"27179";"A"
"2021";"25047";"SD"
"2020";"23964";"A"
"2019";"24452";"A"
"2018";"24264";"A"
"2017";"23703";"A"
"2016";"23096";"A"
"2015";"22902";"A"
"2014";"22244";"A"
"2013";"21508";"A"
"2012";"21314";"A"
"2011";"20862";"A"
"2010";"20092";"A"
"2009";"19274";"A"
"2008";"19941";"A"
"2007";"19080";"A"
"2006";"18455";"A"
"2005";"17573";"A"
"2004";"16704";"A"
"2003";"15900";"A"
"2002";"15148";"A"
"2001";"14693";"A"
"2000";"13864";"A"
