annee_code_dpt;politique (parti);securite (Nombre_de_délits);socio_economie (PIB_par_Inflation);sante (Espérance_de_Vie_H/F);environnemental (Parc_installé_éolien_MW);education (Nombre_Total_Établissements);demographie (Population_Totale);technologie (Dépenses_en_R&D_en_pourcentages)
2000_01;;22529;23296.61;79.7;0.0;5;144423;2.09
2000_02;;24561;18920.81;77.25;0.0;26;148412;2.09
2000_03;;13302;23296.61;78.3;0.0;2;73522;2.09
2000_04;;6897;21659.62;79.75;0.0;6;33705;2.09
2000_05;;5872;21659.62;80.35;0.0;2;30169;2.09
2000_06;;110226;21659.62;80.05;0.0;0;224566;2.09
2000_07;;9295;23296.61;79.3;0.0;1;68840;2.09
2000_08;;12604;21515.99;77.4;0.0;25;78878;2.09
2000_09;;5241;19347.76;78.9;0.0;6;29938;2.09
2000_10;;15941;21515.99;78.85;0.0;11;75523;2.09
2000_11;;21912;19347.76;79.6;0.0;1;70777;2.09
2000_12;;7892;19347.76;80.5;0.0;11;56200;2.09
2000_13;;176241;21659.62;79.0;0.0;4;464043;2.09
2000_14;;34585;20931.63;78.95;0.0;2;173939;2.09
2000_15;;3673;23296.61;78.9;0.0;8;31216;2.09
2000_16;;12563;20284.31;79.55;0.0;7;78641;2.09
2000_17;;34665;20284.31;79.25;0.0;2;127938;2.09
2000_18;;13156;21254.3;78.3;0.0;1;73405;2.09
2000_19;;9167;20284.31;79.05;0.0;4;47264;2.09
2000_21;;22652;20816.53;79.7;0.0;22;128845;2.09
2000_22;;17828;20363.99;77.7;0.0;12;129699;2.09
2000_23;;3367;20284.31;78.1;0.0;1;23630;2.09
2000_24;;12702;20284.31;79.3;0.0;1;81706;2.09
2000_25;;25204;20816.53;79.2;0.0;15;133902;2.09
2000_26;;26360;23296.61;79.85;0.0;5;115762;2.09
2000_27;;23883;20931.63;78.3;0.0;12;153239;2.09
2000_28;;18659;21254.3;79.15;0.0;7;111672;2.09
2000_29;;37368;20363.99;77.75;0.0;12;210056;2.09
2000_30;;49340;19347.76;78.85;0.0;7;157438;2.09
2000_31;;66161;19347.76;80.3;0.0;18;256885;2.09
2000_32;;4544;19347.76;79.85;0.0;6;35909;2.09
2000_33;;86688;20284.31;79.45;0.0;1;314898;2.09
2000_34;;82669;19347.76;78.85;0.0;8;220086;2.09
2000_35;;40931;20363.99;79.45;0.0;9;232093;2.09
2000_36;;9513;21254.3;78.35;0.0;6;49394;2.09
2000_37;;29965;21254.3;80.5;0.0;7;138677;2.09
2000_38;;68999;23296.61;80.0;0.0;24;297166;2.09
2000_39;;8844;20816.53;79.7;0.0;4;63867;2.09
2000_40;;14991;20284.31;79.5;0.0;6;74116;2.09
2000_41;;12496;21254.3;79.2;0.0;7;75451;2.09
2000_42;;43145;23296.61;79.4;0.0;13;184596;2.09
2000_43;;6181;23296.61;78.45;0.0;12;50078;2.09
2000_44;;67659;21148.06;79.15;0.0;8;306669;2.09
2000_45;;37187;21254.3;79.45;0.0;4;163272;2.09
2000_46;;4513;19347.76;79.65;0.0;4;33840;2.09
2000_47;;14236;20284.31;79.9;0.0;1;70073;2.09
2000_48;;2183;19347.76;78.5;0.0;1;16300;2.09
2000_49;;30937;21148.06;79.65;0.0;7;202851;2.09
2000_50;;16843;20931.63;78.65;0.0;4;124561;2.09
2000_51;;32369;21515.99;78.7;0.0;14;149182;2.09
2000_52;;7945;21515.99;77.75;0.0;7;49395;2.09
2000_53;;8174;21148.06;80.0;0.0;4;76077;2.09
2000_54;;38228;21515.99;78.2;0.0;14;185603;2.09
2000_55;;7967;21515.99;77.85;0.0;3;50179;2.09
2000_56;;24972;20363.99;78.05;0.0;5;162703;2.09
2000_57;;52179;21515.99;77.65;0.0;16;267655;2.09
2000_58;;8656;20816.53;77.65;0.0;10;49216;2.09
2000_59;;182851;18920.81;76.55;0.0;87;747351;2.09
2000_60;;48426;18920.81;77.9;0.0;12;223557;2.09
2000_61;;8835;20931.63;79.4;0.0;19;74187;2.09
2000_62;;84627;18920.81;76.3;0.0;70;415294;2.09
2000_63;;25008;23296.61;78.7;0.0;19;139913;2.09
2000_64;;31584;20284.31;79.75;0.0;9;138553;2.09
2000_65;;10244;19347.76;78.9;0.0;7;47647;2.09
2000_66;;35512;19347.76;78.85;0.0;4;90240;2.09
2000_67;;70308;21515.99;78.8;0.0;31;265267;2.09
2000_68;;36402;21515.99;78.45;0.0;12;186119;2.09
2000_69;;134717;23296.61;80.25;0.0;27;420759;2.09
2000_70;;7963;20816.53;78.8;0.0;4;59225;2.09
2000_71;;20729;20816.53;78.9;0.0;22;128651;2.09
