Département,Année,Délits_total
01,1996,18370
01,1997,18569
01,1998,20267
01,1999,19613
01,2000,22529
01,2001,24984
01,2002,27299
01,2003,25833
01,2004,24002
01,2005,23582
01,2006,23301
01,2007,22484
01,2008,22284
01,2009,22985
01,2010,22626
01,2011,21962
01,2012,22504
01,2013,23673
01,2014,25414
01,2015,26296
01,2016,25197
01,2017,25335
01,2018,26683
01,2019,27831
01,2020,24210
01,2021,27891
01,2022,19656
02,1996,26648
02,1997,23045
02,1998,24044
02,1999,22953
02,2000,24561
02,2001,26004
02,2002,28452
02,2003,26866
02,2004,25134
02,2005,24395
02,2006,25450
02,2007,25712
02,2008,26639
02,2009,25307
02,2010,24051
02,2011,25193
02,2012,24725
02,2013,24603
02,2014,24012
02,2015,24279
02,2016,22858
02,2017,23429
02,2018,26120
02,2019,26577
02,2020,23638
02,2021,23883
02,2022,17073
03,1996,14789
03,1997,13030
03,1998,13851
03,1999,14409
03,2000,13302
03,2001,13998
03,2002,14853
03,2003,13289
03,2004,12530
03,2005,12507
03,2006,12367
03,2007,11728
03,2008,12396
03,2009,12121
03,2010,11650
03,2011,11837
03,2012,12322
03,2013,13318
03,2014,12438
03,2015,12527
03,2016,13234
03,2017,13668
03,2018,13587
03,2019,14440
03,2020,12822
03,2021,13931
03,2022,9786
04,1996,7622
04,1997,7745
04,1998,7632
04,1999,6585
04,2000,6897
04,2001,7588
04,2002,7884
04,2003,7623
04,2004,7201
04,2005,7077
04,2006,7353
04,2007,6948
04,2008,6924
04,2009,6942
04,2010,7022
04,2011,7476
04,2012,7867
04,2013,7632
04,2014,7932
04,2015,8081
04,2016,8463
04,2017,8423
04,2018,8579
04,2019,8831
04,2020,7815
04,2021,8006
04,2022,6396
05,1996,6061
05,1997,5456
05,1998,6166
05,1999,5821
05,2000,5872
05,2001,6762
05,2002,7314
05,2003,6909
05,2004,6146
05,2005,6050
05,2006,5940
05,2007,5972
05,2008,5730
05,2009,5342
05,2010,5293
05,2011,6018
05,2012,6061
05,2013,6299
05,2014,6818
05,2015,6974
05,2016,6775
05,2017,6676
05,2018,6658
05,2019,6135
05,2020,5603
05,2021,6104
05,2022,4555
06,1996,99788
06,1997,99730
06,1998,104422
06,1999,103317
06,2000,110226
06,2001,117174
06,2002,114776
06,2003,111118
06,2004,110408
06,2005,113715
