Année;Département;Délits_total
1996;01;18370
1996;02;26648
1996;03;14789
1996;04;7622
1996;05;6061
1996;06;99788
1996;07;9661
1996;08;14460
1996;09;4543
1996;10;13822
1996;11;19731
1996;12;6818
1996;13;168190
1996;14;31998
1996;15;3443
1996;16;16122
1996;17;32222
1996;18;13355
1996;19;8700
1996;21;23886
1996;22;17013
1996;23;2538
1996;24;12502
1996;25;25744
1996;26;29006
1996;27;22696
1996;28;20586
1996;29;31187
1996;30;46570
1996;31;62378
1996;32;3822
1996;33;90458
1996;34;75022
1996;35;32669
1996;36;7132
1996;37;30064
1996;38;66899
1996;39;9237
1996;40;13944
1996;41;11380
1996;42;42752
1996;43;5401
1996;44;65961
1996;45;32448
1996;46;4125
1996;47;12652
1996;48;1991
1996;49;30018
1996;50;15366
1996;51;32525
1996;52;7845
1996;53;7341
1996;54;38568
1996;55;7606
1996;56;23337
1996;57;49046
1996;58;8183
1996;59;178061
1996;60;42176
1996;61;9632
1996;62;78006
1996;63;26424
1996;64;31350
1996;65;11602
1996;66;32847
1996;67;62014
1996;68;38794
1996;69;130152
1996;70;7083
1996;71;19022
1996;72;18443
1996;73;26522
1996;74;35560
1996;75;276159
1996;76;81568
1996;77;82900
1996;78;90951
1996;79;8770
1996;80;28950
1996;81;11094
1996;82;9099
1996;83;71838
1996;84;37279
1996;85;19445
1996;86;16339
1996;87;11053
1996;88;12283
1996;89;12885
1996;90;7354
1996;91;75743
1996;92;102955
1996;93;112569
1996;94;92175
1996;95;92172
1997;01;18569
1997;02;23045
1997;03;13030
1997;04;7745
1997;05;5456
1997;06;99730
1997;07;9230
1997;08;14470
1997;09;4904
1997;10;14094
1997;11;19503
1997;12;6562
1997;13;159453
1997;14;32213
1997;15;3061
1997;16;14243
1997;17;31293
1997;18;12335
1997;19;8388
1997;21;22474
1997;22;16112
1997;23;3253
1997;24;13413
1997;25;26281
1997;26;25625
1997;27;24930
1997;28;18958
1997;29;29659
1997;30;41867
1997;31;62422
1997;32;3802
1997;33;87882
1997;34;70552
1997;35;34054
1997;36;7201
1997;37;27883
1997;38;67590
1997;39;9141
1997;40;13488
1997;41;12068
1997;42;42461
1997;43;5652
1997;44;61038
1997;45;33714
1997;46;4117
1997;47;11193
1997;48;1665
1997;49;29275
1997;50;15530
1997;51;32990
1997;52;8082
1997;53;6989
1997;54;39710
1997;55;7326
1997;56;23868
1997;57;49042
1997;58;8277
1997;59;181091
1997;60;42531
1997;61;9788
1997;62;79109
1997;63;23581
1997;64;29114
1997;65;11803
1997;66;31132
1997;67;62745
1997;68;38131
1997;69;132404
1997;70;7029
1997;71;19830
1997;72;19401
1997;73;24209
1997;74;34604
1997;75;273137
1997;76;75427
1997;77;79471
1997;78;88205
1997;79;9060
1997;80;28964
1997;81;11900
1997;82;9160
1997;83;69625
1997;84;34265
1997;85;17442
1997;86;16356
1997;87;10891
1997;88;12588
1997;89;14131
1997;90;6873
1997;91;71361
1997;92;100640
1997;93;115421
1997;94;90945
1997;95;93497
1998;01;20267
1998;02;24044
1998;03;13851
1998;04;7632
1998;05;6166
1998;06;104422
1998;07;10132
1998;08;11821
1998;09;5152
1998;10;15379
1998;11;20699
1998;12;7341
1998;13;170872
1998;14;32027
1998;15;3406
1998;16;11877
1998;17;28723
1998;18;13218
1998;19;9283
1998;21;23266
1998;22;16534
1998;23;2783
1998;24;12782
1998;25;24663
1998;26;26025
1998;27;26623
1998;28;19003
1998;29;36017
1998;30;43972
1998;31;59344
1998;32;4396
1998;33;82839
1998;34;73175
1998;35;37084
1998;36;8615
1998;37;27303
1998;38;68379
1998;39;7950
1998;40;14008
1998;41;12183
1998;42;41782
1998;43;5526
1998;44;64057
1998;45;36132
1998;46;3883
