CODE_DEP;Année;Espérance_Vie
01;2000;79.7
01;2001;80.05
01;2002;80.0
01;2003;80.7
01;2004;81.35
01;2005;80.85
01;2006;81.55
01;2007;81.4
01;2008;81.5
01;2009;81.75
01;2010;82.15
01;2011;82.55
01;2012;82.6
01;2013;82.7
01;2014;82.95
01;2015;82.95
01;2016;83.4
01;2017;83.05
01;2018;83.3
01;2019;83.6
01;2020;82.85
01;2021;83.2
01;2022;83.3
02;2000;77.25
02;2001;77.15
02;2002;76.8
02;2003;77.4
02;2004;78.6
02;2005;78.45
02;2006;78.5
02;2007;78.6
02;2008;78.25
02;2009;78.75
02;2010;79.25
02;2011;79.35
02;2012;79.4
02;2013;79.35
02;2014;79.9
02;2015;79.75
02;2016;79.95
02;2017;80.2
02;2018;80.15
02;2019;80.15
02;2020;79.6
02;2021;79.35
02;2022;79.95
03;2000;78.3
03;2001;78.1
03;2002;78.65
03;2003;78.65
03;2004;79.35
03;2005;79.15
03;2006;80.1
03;2007;80.15
03;2008;80.0
03;2009;79.85
03;2010;80.0
03;2011;80.7
03;2012;80.8
03;2013;80.9
03;2014;81.65
03;2015;81.25
03;2016;81.4
03;2017;81.8
03;2018;81.5
03;2019;81.65
03;2020;81.4
03;2021;81.45
03;2022;81.6
04;2000;79.75
04;2001;79.8
04;2002;79.75
04;2003;80.05
04;2004;80.4
04;2005;80.65
04;2006;80.25
04;2007;80.8
04;2008;81.5
04;2009;81.2
04;2010;81.65
04;2011;81.9
04;2012;82.35
04;2013;81.9
04;2014;81.7
04;2015;82.15
04;2016;81.8
04;2017;82.05
04;2018;82.05
04;2019;82.35
04;2020;82.2
04;2021;81.7
04;2022;82.15
05;2000;80.35
05;2001;80.05
05;2002;80.4
05;2003;80.55
05;2004;80.4
05;2005;80.85
05;2006;81.75
05;2007;81.65
05;2008;82.05
05;2009;81.6
05;2010;81.7
05;2011;83.05
05;2012;82.85
05;2013;82.8
05;2014;83.3
05;2015;82.8
05;2016;83.25
05;2017;83.7
05;2018;83.45
05;2019;83.0
05;2020;82.8
05;2021;83.3
05;2022;83.55
06;2000;80.05
06;2001;80.15
06;2002;80.55
06;2003;80.35
06;2004;81.05
06;2005;81.25
06;2006;81.55
06;2007;81.8
06;2008;81.65
06;2009;81.95
06;2010;82.4
06;2011;82.5
06;2012;82.45
06;2013;82.6
06;2014;82.7
06;2015;82.65
06;2016;82.6
06;2017;82.75
06;2018;83.15
06;2019;83.2
06;2020;83.2
06;2021;82.45
06;2022;82.65
07;2000;79.3
07;2001;79.5
07;2002;80.25
07;2003;79.9
07;2004;80.85
07;2005;80.6
07;2006;81.15
07;2007;81.55
07;2008;81.25
07;2009;81.5
07;2010;81.3
07;2011;82.05
07;2012;81.4
07;2013;82.1
07;2014;82.7
07;2015;81.95
07;2016;82.35
07;2017;82.4
07;2018;82.45
07;2019;82.3
07;2020;81.9
07;2021;82.55
07;2022;82.45
08;2000;77.4
08;2001;77.2
08;2002;77.25
08;2003;77.75
08;2004;77.95
08;2005;78.65
08;2006;79.35
08;2007;79.45
08;2008;78.7
08;2009;79.05
08;2010;79.7
08;2011;79.9
08;2012;79.45
08;2013;80.0
08;2014;80.45
08;2015;80.6
08;2016;80.55
08;2017;80.35
08;2018;80.75
