Code_INSEE_région,Année,Parc_installé_éolien_MW,Parc_installé_solaire_MW
11,2001,0.0,0.0
11,2002,0.0,0.0
11,2003,0.0,0.0
11,2004,0.0,0.0
11,2005,9.0,0.0
11,2006,0.1,0.0
11,2007,7.0,0.5
11,2008,0.0,1.0
11,2009,0.1,4.0
11,2010,0.0,16.0
11,2011,19.0,49.0
11,2012,19.0,61.0
11,2013,19.0,67.0
11,2014,19.0,75.0
11,2015,43.0,79.0
11,2016,43.0,85.0
11,2017,70.0,87.0
11,2018,70.0,96.0
11,2019,89.0,119.0
11,2020,106.0,154.0
11,2021,127.0,189.0
11,2022,146.0,255.0
11,2023,146.0,318.0
24,2001,0.0,0.0
24,2002,0.0,0.0
24,2003,0.0,0.0
24,2004,0.0,0.0
24,2005,23.0,0.0
24,2006,272.0,0.2
24,2007,315.0,0.3
24,2008,367.0,1.0
24,2009,492.0,3.0
24,2010,564.0,20.0
24,2011,665.0,63.0
24,2012,703.0,141.0
24,2013,781.0,155.0
24,2014,844.0,171.0
24,2015,876.0,199.0
24,2016,950.0,218.0
24,2017,1017.0,238.0
24,2018,1134.0,271.0
24,2019,1255.0,321.0
24,2020,1294.0,379.0
24,2021,1419.0,670.0
24,2022,1544.0,785.0
24,2023,1639.0,980.0
27,2001,0.0,0.0
27,2002,0.0,0.0
27,2003,0.0,0.0
27,2004,0.0,0.0
27,2005,0.0,0.0
27,2006,0.0,0.4
27,2007,30.0,0.5
27,2008,80.0,2.0
27,2009,80.0,7.0
27,2010,92.0,30.0
27,2011,122.0,68.0
27,2012,168.0,129.0
27,2013,180.0,154.0
27,2014,291.0,172.0
27,2015,379.0,188.0
27,2016,511.0,196.0
27,2017,640.0,241.0
27,2018,708.0,271.0
27,2019,808.0,294.0
27,2020,879.0,332.0
27,2021,954.0,463.0
27,2022,1028.0,636.0
27,2023,1147.0,809.0
28,2001,0.0,0.0
28,2002,0.2,0.0
28,2003,0.2,0.0
28,2004,8.0,0.0
28,2005,35.0,0.0
28,2006,75.0,0.0
28,2007,143.0,0.0
28,2008,175.0,0.5
28,2009,271.0,2.0
28,2010,341.0,17.0
28,2011,431.0,61.0
28,2012,455.0,87.0
28,2013,472.0,101.0
28,2014,520.0,110.0
28,2015,567.0,116.0
28,2016,643.0,123.0
28,2017,725.0,132.0
28,2018,822.0,154.0
28,2019,836.0,179.0
28,2020,859.0,191.0
28,2021,927.0,230.0
28,2022,997.0,260.0
28,2023,1561.0,318.0
32,2001,21.0,0.0
32,2002,11.0,0.0
32,2003,27.0,0.0
32,2004,86.0,0.0
32,2005,111.0,0.0
32,2006,223.0,0.1
32,2007,381.0,0.1
32,2008,642.0,2.0
32,2009,979.0,6.0
32,2010,1134.0,30.0
32,2011,1275.0,66.0
32,2012,1497.0,104.0
32,2013,1682.0,112.0
32,2014,2015.0,120.0
32,2015,2321.0,125.0
32,2016,2762.0,130.0
32,2017,3345.0,136.0
32,2018,3945.0,160.0
32,2019,4523.0,172.0
32,2020,4912.0,195.0
32,2021,5268.0,335.0
32,2022,5724.0,437.0
32,2023,6066.0,542.0
44,2001,0.0,0.0
44,2002,2.0,0.0
44,2003,2.0,0.0
44,2004,2.0,0.0
44,2005,134.0,0.0
44,2006,225.0,0.2
