Année,PIB_en_euros_par_habitant,Code_INSEE_Région,Évolution_des_prix_à_la_consommation,PIB_par_inflation
2000,13120,01,1.65,12907.03
2001,13944,01,1.63,13720.36
2002,14452,01,1.97,14172.8
2003,15435,01,2.05,15124.94
2004,16036,01,2.13,15701.56
2005,17099,01,1.85,16788.41
2006,18039,01,1.63,17749.68
2007,18560,01,1.49,18287.52
2008,19479,01,2.81,18946.6
2009,18556,01,0.09,18539.31
2010,19307,01,1.52,19017.93
2011,19971,01,2.11,19558.32
2012,20421,01,1.95,20030.41
2013,20557,01,0.87,20379.7
2014,21088,01,0.5,20983.08
2015,21648,01,0.04,21639.34
2016,22215,01,0.18,22175.08
2017,22634,01,1.04,22401.03
2018,23386,01,1.85,22961.22
2019,24142,01,1.11,23876.97
2020,23069,01,0.48,22958.8
2021,23925,01,1.64,23538.96
2022,25903,01,5.22,24617.94
2022,25903,01,5.22,24617.94
2000,13864,02,1.65,13638.96
2001,14693,02,1.63,14457.35
2002,15148,02,1.97,14855.35
2003,15900,02,2.05,15580.6
2004,16704,02,2.13,16355.63
2005,17573,02,1.85,17253.8
2006,18455,02,1.63,18159.01
2007,19080,02,1.49,18799.88
2008,19941,02,2.81,19395.97
2009,19274,02,0.09,19256.67
2010,20092,02,1.52,19791.17
2011,20862,02,2.11,20430.91
2012,21314,02,1.95,20906.33
2013,21508,02,0.87,21322.49
2014,22244,02,0.5,22133.33
2015,22902,02,0.04,22892.84
2016,23096,02,0.18,23054.5
2017,23703,02,1.04,23459.03
2018,24264,02,1.85,23823.27
2019,24452,02,1.11,24183.56
2020,23964,02,0.48,23849.52
2021,25047,02,1.64,24642.86
2022,27179,02,5.22,25830.64
2022,27179,02,5.22,25830.64
2000,11814,03,1.65,11622.23
2001,13152,03,1.63,12941.06
2002,13483,03,1.97,13222.52
2003,12717,03,2.05,12461.54
2004,13018,03,2.13,12746.5
2005,13258,03,1.85,13017.18
2006,13874,03,1.63,13651.48
2007,13786,03,1.49,13583.6
2008,14123,03,2.81,13736.99
2009,14329,03,0.09,14316.12
2010,14508,03,1.52,14290.78
2011,14971,03,2.11,14661.64
2012,15638,03,1.95,15338.89
2013,15534,03,0.87,15400.02
2014,15480,03,0.5,15402.99
2015,15091,03,0.04,15084.97
2016,15356,03,0.18,15328.41
2017,15151,03,1.04,14995.05
2018,15607,03,1.85,15323.51
2019,15633,03,1.11,15461.38
2020,14954,03,0.48,14882.56
2021,15436,03,1.64,15186.93
2022,15656,03,5.22,14879.3
2022,15656,03,5.22,14879.3
2000,13218,04,1.65,13003.44
2001,14000,04,1.63,13775.46
2002,14746,04,1.97,14461.12
2003,15384,04,2.05,15074.96
2004,16216,04,2.13,15877.8
2005,17085,04,1.85,16774.67
2006,17992,04,1.63,17703.43
2007,18937,04,1.49,18658.98
2008,19513,04,2.81,18979.67
2009,18637,04,0.09,18620.24
2010,18629,04,1.52,18350.08
2011,19335,04,2.11,18935.46
2012,19630,04,1.95,19254.54
2013,19701,04,0.87,19531.08
2014,20045,04,0.5,19945.27
2015,20608,04,0.04,20599.76
2016,21171,04,0.18,21132.96
2017,21707,04,1.04,21483.57
2018,21922,04,1.85,21523.81
2019,22463,04,1.11,22216.4
2020,21949,04,0.48,21844.15
2021,23360,04,1.64,22983.08
2022,24663,04,5.22,23439.46
2022,24663,04,5.22,23439.46
2000,3081,06,1.65,3030.99
2001,3446,06,1.63,3390.73
2002,3810,06,1.97,3736.39
2003,4174,06,2.05,4090.15
2004,4538,06,2.13,4443.36
2005,4902,06,1.85,4812.96
2006,5266,06,1.63,5181.54
2007,5630,06,1.49,5547.34
2008,5994,06,2.81,5830.17
2009,6358,06,0.09,6352.28
2010,6723,06,1.52,6622.34
2011,7087,06,2.11,6940.55
2012,7451,06,1.95,7308.48
2013,7815,06,0.87,7747.6
2014,8137,06,0.5,8096.52
2015,8789,06,0.04,8785.49
2016,8992,06,0.18,8975.84
2017,9494,06,1.04,9396.28
2018,9262,06,1.85,9093.77
2019,9753,06,1.11,9645.93
2020,9983,06,0.48,9935.31
2021,10735,06,1.64,10561.79
2022,11579,06,5.22,11004.56
2022,11579,06,5.22,11004.56
2000,39324,11,1.65,38685.69
2001,40414,11,1.63,39765.82
2002,41600,11,1.97,40796.31
2003,42134,11,2.05,41287.6
2004,43264,11,2.13,42361.7
2005,44714,11,1.85,43901.82
2006,46108,11,1.63,45368.49
2007,48825,11,1.49,48108.19
2008,50367,11,2.81,48990.37
2009,48620,11,0.09,48576.28
2010,51223,11,1.52,50456.07
2011,51828,11,2.11,50757.03
2012,52862,11,1.95,51850.91
2013,53752,11,0.87,53288.39
2014,54249,11,0.5,53979.1
2015,55425,11,0.04,55402.84
2016,56467,11,0.18,56365.54
2017,57843,11,1.04,57247.62
2018,59635,11,1.85,58551.79
2019,61920,11,1.11,61240.23
2020,57019,11,0.48,56746.62
2021,61417,11,1.64,60426.01
2022,63256,11,5.22,60117.85
2000,21605,24,1.65,21254.3
2001,22355,24,1.63,21996.46
2002,22802,24,1.97,22361.48
2003,23257,24,2.05,22789.81
2004,24145,24,2.13,23641.44
2005,24575,24,1.85,24128.62
2006,25465,24,1.63,25056.58
2007,26518,24,1.49,26128.68
2008,26269,24,2.81,25551.02
2009,25549,24,0.09,25526.03
2010,25952,24,1.52,25563.44
2011,26582,24,2.11,26032.71
2012,26723,24,1.95,26211.87
2013,26841,24,0.87,26609.5
2014,26948,24,0.5,26813.93
2015,27433,24,0.04,27422.03
2016,27571,24,0.18,27521.46
2017,28258,24,1.04,27967.14
2018,28827,24,1.85,28303.39
2019,29447,24,1.11,29123.73
2020,28357,24,0.48,28221.54
2021,30225,24,1.64,29737.31
2022,31093,24,5.22,29550.47
2000,21160,27,1.65,20816.53
2001,21752,27,1.63,21403.13
2002,22200,27,1.97,21771.11
2003,22524,27,2.05,22071.53
2004,23440,27,2.13,22951.14
2005,23725,27,1.85,23294.06
2006,24497,27,1.63,24104.1
2007,25696,27,1.49,25318.75
2008,26176,27,2.81,25460.56
2009,25094,27,0.09,25071.44
2010,25054,27,1.52,24678.88
2011,25864,27,2.11,25329.55
2012,25500,27,1.95,25012.26
2013,25591,27,0.87,25370.28
2014,26050,27,0.5,25920.4
2015,26371,27,0.04,26360.46
2016,26452,27,0.18,26404.47
2017,27354,27,1.04,27072.45
2018,27865,27,1.85,27358.86
2019,28417,27,1.11,28105.03
2020,27558,27,0.48,27426.35
2021,29085,27,1.64,28615.7
2022,31323,27,5.22,29769.06
2000,21277,28,1.65,20931.63
2001,21712,28,1.63,21363.77
2002,22243,28,1.97,21813.28
2003,22888,28,2.05,22428.22
2004,23798,28,2.13,23301.67
2005,24275,28,1.85,23834.07
2006,25133,28,1.63,24729.9
2007,26288,28,1.49,25902.06
2008,26656,28,2.81,25927.44
2009,25624,28,0.09,25600.96
2010,26246,28,1.52,25853.03
2011,27026,28,2.11,26467.54
2012,27121,28,1.95,26602.26
