Année,PIB_en_euros_par_habitant,Code_INSEE_Région
2000,13120,01
2001,13944,01
2002,14452,01
2003,15435,01
2004,16036,01
2005,17099,01
2006,18039,01
2007,18560,01
2008,19479,01
2009,18556,01
2010,19307,01
2011,19971,01
2012,20421,01
2013,20557,01
2014,21088,01
2015,21648,01
2016,22215,01
2017,22634,01
2018,23386,01
2019,24142,01
2020,23069,01
2021,23925,01
2022,25903,01
2000,13864,02
2001,14693,02
2002,15148,02
2003,15900,02
2004,16704,02
2005,17573,02
2006,18455,02
2007,19080,02
2008,19941,02
2009,19274,02
2010,20092,02
2011,20862,02
2012,21314,02
2013,21508,02
2014,22244,02
2015,22902,02
2016,23096,02
2017,23703,02
2018,24264,02
2019,24452,02
2020,23964,02
2021,25047,02
2022,27179,02
2000,11814,03
2001,13152,03
2002,13483,03
2003,12717,03
2004,13018,03
2005,13258,03
2006,13874,03
2007,13786,03
2008,14123,03
2009,14329,03
2010,14508,03
2011,14971,03
2012,15638,03
2013,15534,03
2014,15480,03
2015,15091,03
2016,15356,03
2017,15151,03
2018,15607,03
2019,15633,03
2020,14954,03
2021,15436,03
2022,15656,03
2000,13218,04
2001,14000,04
2002,14746,04
2003,15384,04
2004,16216,04
2005,17085,04
2006,17992,04
2007,18937,04
2008,19513,04
2009,18637,04
2010,18629,04
2011,19335,04
2012,19630,04
2013,19701,04
2014,20045,04
2015,20608,04
2016,21171,04
2017,21707,04
2018,21922,04
2019,22463,04
2020,21949,04
2021,23360,04
2022,24663,04
