"Libellé";"PIB en euros par habitant - Guyane";"Codes"
"idBank";"010751783";""
"Dernière mise à jour";"16/04/2024 17:44";""
"Période";"";""
"2022";"15656";"A"
"2021";"15436";"SD"
"2020";"14954";"A"
"2019";"15633";"A"
"2018";"15607";"A"
"2017";"15151";"A"
"2016";"15356";"A"
"2015";"15091";"A"
"2014";"15480";"A"
"2013";"15534";"A"
"2012";"15638";"A"
"2011";"14971";"A"
"2010";"14508";"A"
"2009";"14329";"A"
"2008";"14123";"A"
"2007";"13786";"A"
"2006";"13874";"A"
"2005";"13258";"A"
"2004";"13018";"A"
"2003";"12717";"A"
"2002";"13483";"A"
"2001";"13152";"A"
"2000";"11814";"A"
