Insee - Statistiques locales; ; 
Référentiel géographique : France par région; ; 
Code;Libellé;Produit intérieur brut par habitant 2022
01;Guadeloupe;25903
02;Martinique;27179
03;Guyane;15656
04;La Réunion;24663
06;Mayotte;11579
11;Île-de-France;63256
24;Centre-Val de Loire;31093
27;Bourgogne-Franche-Comté;31323
28;Normandie;32210
32;Hauts-de-France;30968
44;Grand Est;32159
52;Pays de la Loire;35235
53;Bretagne;33648
75;Nouvelle-Aquitaine;32661
76;Occitanie;31710
84;Auvergne-Rhône-Alpes;37271
93;Provence-Alpes-Côte d'Azur;40043
94;Corse;29260
