DEP_RES_22;AN_RECENS;POND
01;1968;338752.0
01;1975;377595.0
01;1982;420600.0
01;1990;471867.0
01;1999;516063.0
01;2009;588867.1015229793
01;2014;626037.3706306648
01;2020;658139.060366022
02;1968;526112.0
02;1975;533410.0
02;1982;533296.0
02;1990;538068.0
02;1999;535820.0
02;2009;539502.7862915234
02;2014;539509.6734132749
02;2020;529490.089738826
03;1968;385408.0
03;1975;380635.0
03;1982;368008.0
03;1990;358326.0
03;1999;344519.0
03;2009;342554.126028749
03;2014;342764.62248643965
03;2020;335379.5290052639
04;1968;105348.0
04;1975;111755.0
04;1982;119152.0
04;1990;131064.0
04;1999;140056.0
04;2009;159503.1741054245
04;2014;161724.4332901503
04;2020;165731.6921784078
05;1968;92104.0
05;1975;97300.0
05;1982;105372.0
05;1990;113611.0
05;1999;121436.0
05;2009;135882.7309040505
05;2014;139897.136697768
05;2020;140400.13108178752
06;1968;723524.0
06;1975;816110.0
06;1982;879544.0
06;1990;972385.0
06;1999;1012385.0
06;2009;1079166.3185374984
06;2014;1083372.9966374203
06;2020;1097289.2256859848
07;1968;259580.0
07;1975;256305.0
07;1982;267576.0
07;1990;277857.0
07;1999;285781.0
07;2009;313270.5111130349
07;2014;322312.54289858066
07;2020;329398.4985528309
08;1968;308308.0
08;1975;310645.0
08;1982;302524.0
08;1990;296863.0
08;1999;290047.0
08;2009;283473.2064316385
08;2014;279511.930898156
08;2020;269983.833974075
09;1968;138972.0
09;1975;138500.0
09;1982;136872.0
09;1990;136636.0
09;1999;137384.0
09;2009;151043.6940807654
09;2014;152461.1665179778
09;2020;154006.0700730757
10;1968;270908.0
10;1975;284260.0
10;1982;288828.0
10;1990;289466.0
10;1999;291942.0
10;2009;303233.639862565
10;2014;308048.9327475785
10;2020;311720.7082928483
11;1968;276572.0
11;1975;270160.0
11;1982;280836.0
11;1990;298793.0
11;1999;310056.0
11;2009;353726.3677136535
11;2014;365466.4524463587
11;2020;375358.7522543658
12;1968;281664.0
12;1975;277970.0
12;1982;277928.0
12;1990;270766.0
12;1999;264145.0
12;2009;277032.5886358404
12;2014;278773.0755993728
12;2020;279545.3726918588
13;1968;1471284.0
13;1975;1632705.0
13;1982;1719856.0
13;1990;1758685.0
13;1999;1834026.0
13;2009;1967105.8775336784
13;2014;2006032.8186082928
13;2020;2047977.2673517996
14;1968;516092.0
14;1975;560095.0
