Code_Département;Nom_Département;0-19 ans;20-39 ans;40-59 ans;60-74 ans;75 ans et plus;Total;H_0-19 ans;H_20-39 ans;H_40-59 ans;H_60-74 ans;H_75 ans et plus;H_Total;F_0-19 ans;F_20-39 ans;F_40-59 ans;F_60-74 ans;F_75 ans et plus;F_Total;Année
France métropolitaine;;15318609;15407747;16899169;11494323;6714989;65834837;7854105;7661316;8301914;5392281;2674206;31883822;7464504;7746431;8597255;6102042;4040783;33951015;2023
DOM;;701179;506296;547164;318340;134775;2207754;352721;227740;250313;150682;55099;1036555;348458;278556;296851;167658;79676;1171199;2023
France métropolitaine et DOM;;16019788;15914043;17446333;11812663;6849764;68042591;8206826;7889056;8552227;5542963;2729305;32920377;7812962;8024987;8894106;6269700;4120459;35122214;2023
France métropolitaine;;15379054;15408287;16899971;11481231;6478294;65646837;7883073;7653553;8306567;5389786;2556944;31789923;7495981;7754734;8593404;6091445;3921350;33856914;2022
DOM;;700424;504461;552455;308091;130323;2195754;352372;227359;253845;145750;52975;1032301;348052;277102;298610;162341;77348;1163453;2022
France métropolitaine et DOM;;16079478;15912748;17452426;11789322;6608617;67842591;8235445;7880912;8560412;5535536;2609919;32822224;7844033;8031836;8892014;6253786;3998698;35020367;2022
France métropolitaine;;15437559;15408476;16904096;11436178;6263910;65450219;7912558;7644454;8313055;5373153;2451814;31695034;7525001;7764022;8591041;6063025;3812096;33755185;2021
DOM;;699739;502445;556833;298881;127007;2184905;352382;226509;257308;141202;51200;1028601;347357;275936;299525;157679;75807;1156304;2021
France métropolitaine et DOM;;16137298;15910921;17460929;11735059;6390917;67635124;8264940;7870963;8570363;5514355;2503014;32723635;7872358;8039958;8890566;6220704;3887903;34911489;2021
France métropolitaine;;15512858;15407798;16895468;11229475;6223555;65269154;7951079;7633931;8312615;5282684;2425332;31605641;7561779;7773867;8582853;5946791;3798223;33663513;2020
DOM;;700448;500984;560199;288465;122600;2172696;352705;226262;259746;136323;49127;1024163;347743;274722;300453;152142;73473;1148533;2020
France métropolitaine et DOM;;16213306;15908782;17455667;11517940;6346155;67441850;8303784;7860193;8572361;5419007;2474459;32629804;7909522;8048589;8883306;6098933;3871696;34812046;2020
France métropolitaine;;15584916;15407347;16949555;11004207;6150743;65096768;7983456;7627191;8340119;5181938;2383403;31516107;7601460;7780156;8609436;5822269;3767340;33580661;2019
DOM;;701899;500557;562606;277273;118879;2161214;352919;227414;261887;130493;47093;1019806;348980;273143;300719;146780;71786;1141408;2019
France métropolitaine et DOM;;16286815;15907904;17512161;11281480;6269622;67257982;8336375;7854605;8602006;5312431;2430496;32535913;7950440;8053299;8910155;5969049;3839126;34722069;2019
France métropolitaine;;15611515;15406773;16976999;10780345;6068405;64844037;7990698;7622581;8351863;5084012;2334231;31383385;7620817;7784192;8625136;5696333;3734174;33460652;2018
DOM;;701536;498664;564910;267021;115991;2148122;353598;225865;263462;125537;45911;1014373;347938;272799;301448;141484;70080;1133749;2018
France métropolitaine et DOM;;16313051;15905437;17541909;11047366;6184396;66992159;8344296;7848446;8615325;5209549;2380142;32397758;7968755;8056991;8926584;5837817;3804254;34594401;2018
France métropolitaine;;15616148;15420035;17028472;10541497;6032981;64639133;7992828;7632177;8376683;4980166;2304975;31286829;7623320;7787858;8651789;5561331;3728006;33352304;2017
DOM;;700200;496925;567343;258582;112299;2135349;353215;225881;265301;121702;44332;1010431;346985;271044;302042;136880;67967;1124918;2017
France métropolitaine et DOM;;16316348;15916960;17595815;10800079;6145280;66774482;8346043;7858058;8641984;5101868;2349307;32297260;7970305;8058902;8953831;5698211;3795973;34477222;2017
France métropolitaine;;15645526;15438219;17124038;10266193;5994816;64468792;8004668;7648979;8418136;4856994;2287425;31216202;7640858;7789240;8705902;5409199;3707391;33252590;2016
DOM;;706605;502300;570573;246581;107794;2133853;357379;229984;268487;115702;42333;1013885;349226;272316;302086;130879;65461;1119968;2016
France métropolitaine et DOM;;16352131;15940519;17694611;10512774;6102610;66602645;8362047;7878963;8686623;4972696;2329758;32230087;7990084;8061556;9007988;5540078;3772852;34372558;2016
France métropolitaine;;15651778;15491360;17189272;10000619;5967792;64300821;8006756;7685214;8449958;4738578;2266880;31147386;7645022;7806146;8739314;5262041;3700912;33153435;2015
DOM;;707236;506147;567279;236964;104022;2121648;358989;231555;267488;110931;40634;1009597;348247;274592;299791;126033;63388;1112051;2015
France métropolitaine et DOM;;16359014;15997507;17756551;10237583;6071814;66422469;8365745;7916769;8717446;4849509;2307514;32156983;7993269;8080738;9039105;5388074;3764300;34265486;2015
France métropolitaine;;15588708;15585219;17206322;9754711;5892998;64027958;7977349;7743600;8456377;4623563;2224035;31024924;7611359;7841619;8749945;5131148;3668963;33003034;2014
DOM;;706017;509190;560259;226280;101169;2102915;358576;234044;265239;105898;39446;1003203;347441;275146;295020;120382;61723;1099712;2014
France métropolitaine et DOM;;16294725;16094409;17766581;9980991;5994167;66130873;8335925;7977644;8721616;4729461;2263481;32028127;7958800;8116765;9044965;5251530;3730686;34102746;2014
France métropolitaine;;15513096;15714062;17139185;9512516;5819006;63697865;7939908;7812538;8420937;4508027;2184599;30866009;7573188;7901524;8718248;5004489;3634407;32831856;2013
DOM;;582985;454590;523140;210440;95736;1866891;297052;210904;246283;98199;36978;889416;285933;243686;276857;112241;58758;977475;2013
France métropolitaine et DOM;;16096081;16168652;17662325;9722956;5914742;65564756;8236960;8023442;8667220;4606226;2221577;31755425;7859121;8145210;8995105;5116730;3693165;33809331;2013
France métropolitaine;;15457656;15832562;17078048;9256053;5751652;63375971;7908343;7875308;8382174;4386217;2147128;30699170;7549313;7957254;8695874;4869836;3604524;32676801;2012
DOM;;589457;463590;516879;202667;92677;1865270;300443;214970;243429;94364;35698;888904;289014;248620;273450;108303;56979;976366;2012
France métropolitaine et DOM;;16047113;16296152;17594927;9458720;5844329;65241241;8208786;8090278;8625603;4480581;2182826;31588074;7838327;8205874;8969324;4978139;3661503;33653167;2012
France métropolitaine;;15440408;15931863;17008038;9021923;5668112;63070344;7901666;7931811;8344886;4271721;2103544;30553628;7538742;8000052;8663152;4750202;3564568;32516716;2011
DOM;;597862;470525;509682;196088;88899;1863056;304959;216606;240402;91208;34154;887329;292903;253919;269280;104880;54745;975727;2011
France métropolitaine et DOM;;16038270;16402388;17517720;9218011;5757011;64933400;8206625;8148417;8585288;4362929;2137698;31440957;7831645;8253971;8932432;4855082;3619313;33492443;2011
France métropolitaine;;15406592;16014053;17009559;8758932;5576099;62765235;7882609;7973646;8342523;4138767;2060405;30397950;7523983;8040407;8667036;4620165;3515694;32367285;2010
DOM;;603943;473916;499702;186784;83359;1847704;308277;218481;235966;86836;32022;881582;295666;255435;263736;99948;51337;966122;2010
France métropolitaine et DOM;;16010535;16487969;17509261;8945716;5659458;64612939;8190886;8192127;8578489;4225603;2092427;31279532;7819649;8295842;8930772;4720113;3567031;33333407;2010
France métropolitaine;;15368840;16082452;17024614;8520227;5469576;62465709;7864098;8009845;8347989;4015893;2009609;30247434;7504742;8072607;8676625;4504334;3459967;32218275;2009
DOM;;608468;479747;489387;180961;80228;1838791;310095;222031;231863;83737;30685;878411;298373;257716;257524;97224;49543;960380;2009
France métropolitaine et DOM;;15977308;16562199;17514001;8701188;5549804;64304500;8174193;8231876;8579852;4099630;2040294;31125845;7803115;8330323;8934149;4601558;3509510;33178655;2009
France métropolitaine;;15337575;16131404;17039375;8265032;5361480;62134866;7850203;8034573;8358745;3880286;1960940;30084747;7487372;8096831;8680630;4384746;3400540;32050119;2008
DOM;;611310;485517;478497;174208;77461;1826993;311181;225184;227269;80429;29477;873540;300129;260333;251228;93779;47984;953453;2008
France métropolitaine et DOM;;15948885;16616921;17517872;8439240;5438941;63961859;8161384;8259757;8586014;3960715;1990417;30958287;7787501;8357164;8931858;4478525;3448524;33003572;2008
France métropolitaine;;15315094;16181437;17038546;8033849;5226312;61795238;7838862;8061327;8361052;3753507;1902830;29917578;7476232;8120110;8677494;4280342;3323482;31877660;2007
DOM;;609702;487409;466434;166869;75038;1805452;310006;227252;221773;76765;28380;864176;299696;260157;244661;90104;46658;941276;2007
France métropolitaine et DOM;;15924796;16668846;17504980;8200718;5301350;63600690;8148868;8288579;8582825;3830272;1931210;30781754;7775928;8380267;8922155;4370446;3370140;32818936;2007
France métropolitaine;;15280401;16226472;16967166;7839700;5085994;61399733;7814800;8083203;8329031;3642839;1844538;29714411;7465601;8143269;8638135;4196861;3241456;31685322;2006
DOM;;607352;488601;453997;163226;73208;1786384;308916;227858;216038;75028;27793;855633;298436;260743;237959;88198;45415;930751;2006
France métropolitaine et DOM;;15887753;16715073;17421163;8002926;5159202;63186117;8123716;8311061;8545069;3717867;1872331;30570044;7764037;8404012;8876094;4285059;3286871;32616073;2006
France métropolitaine;;15244989;16253263;16714029;7828306;4922677;60963264;7798655;8094303;8218077;3626588;1779738;29517361;7446334;8158960;8495952;4201718;3142939;31445903;2005
DOM;;603868;495021;439643;156095;72646;1767273;307010;231619;209534;72219;27849;848231;296858;263402;230109;83876;44797;919042;2005
France métropolitaine et DOM;;15848857;16748284;17153672;7984401;4995323;62730537;8105665;8325922;8427611;3698807;1807587;30365592;7743192;8422362;8726061;4285594;3187736;32364945;2005
