AN_RECENS;DEP_RES_22;DEP_NAIS;DEP_TRA_22;DEP_RAN_22;REG_RES_22;REG_NAIS;REG_TRA_22;REG_RAN_22;AGE_REV;SEXE;STAT_CONJ;NATIO;DIPL;TYP_ACT;NES4;CSP;POND
1975;45;45;***;45;24;24;**;24;52;2;3;000;0;5;9;8;5.0
2009;11;95;***;XX;76;11;**;XX;26;1;1;000;3;2;9;4;3.7708637253
1975;17;17;***;17;75;75;**;75;92;1;3;000;3;5;9;8;5.0
2014;75;78;78;75;11;11;11;11;42;2;B;000;A;1;4;4;1.1084253754
1999;82;82;***;82;76;76;**;76;53;2;2;000;1;5;9;8;4.0
2020;92;75;***;92;11;11;**;11;60;2;1;000;6;2;9;3;2.4292499468
1975;78;59;78;78;11;32;11;11;18;2;1;000;3;1;4;5;5.0
2009;25;12;***;XX;27;76;**;XX;64;1;4;000;4;5;9;8;3.8875185165
2020;77;94;77;77;11;11;11;11;49;1;6;000;6;1;4;4;5.0
1982;10;49;***;10;44;52;**;44;70;2;3;000;1;5;9;8;4.0
2009;34;99;34;XX;76;99;76;XX;41;2;2;001;0;1;2;6;4.0220646178
1968;13;13;13;13;93;93;93;93;29;2;3;000;1;1;2;6;4.0
2009;77;77;94;XX;11;11;11;XX;31;2;1;000;6;1;4;3;1.0646251054
2009;95;99;***;XX;11;99;**;XX;66;1;2;3MA;1;5;9;8;3.1280833061
2009;17;85;***;XX;75;52;**;XX;29;2;2;000;3;2;9;5;4.0
2014;49;78;***;49;52;11;**;52;6;1;B;1PT;*;6;9;9;4.8753169252
1982;16;16;16;16;75;75;75;75;60;2;2;000;0;1;1;1;32.0
1999;93;60;75;93;11;32;11;11;59;2;2;000;1;1;4;5;4.0
2009;91;2B;***;XX;11;94;**;XX;71;2;2;000;6;5;9;8;1.0407443696
2020;56;56;***;56;53;53;**;53;74;2;4;000;6;5;9;8;2.8827240344
2014;6;03;***;06;93;84;**;93;69;1;B;000;D;5;9;8;3.4261381731
1968;94;75;94;75;11;11;11;11;22;1;1;000;1;1;2;5;4.0
2014;24;24;24;24;75;75;75;75;50;1;A;000;B;1;4;1;4.8375451264
1990;21;21;***;21;27;27;**;27;22;2;1;000;3;2;9;5;68.0
1968;51;33;51;51;44;75;44;44;56;1;2;000;1;1;2;6;4.0
2014;52;52;52;52;44;44;44;44;48;2;A;000;B;1;4;5;95.2611975012
1990;9;75;***;09;76;11;**;76;39;2;1;000;0;6;9;9;4.0
2009;75;64;75;XX;11;75;11;XX;39;2;1;000;5;1;4;3;3.3976581285
1999;86;976;***;976;75;06;**;06;24;1;1;000;*;3;9;9;8.0
2020;25;21;25;21;27;27;27;27;23;1;1;000;3;1;4;6;2.6920318833
2020;31;99;***;82;76;99;**;76;62;2;3;001;0;2;9;5;4.6819499814
1982;92;92;94;92;11;11;11;11;45;1;2;000;3;1;4;6;4.0
2014;3;16;***;03;84;75;**;84;10;2;B;000;*;6;9;9;3.9987277049
1990;35;35;35;44;53;53;53;52;41;1;2;000;3;1;3;6;4.0
2009;972;972;***;XX;2;02;**;XX;35;2;2;000;3;2;9;6;7.4903921233
1999;94;62;78;62;11;32;11;32;20;2;1;000;3;1;4;5;4.0
1990;6;38;06;75;93;84;93;11;42;1;4;000;5;1;4;3;4.0
1982;6;99;06;06;93;99;93;93;40;1;2;000;1;1;4;4;4.0
1968;75;20;25;75;11;94;27;11;56;2;2;000;4;1;4;4;4.0
1990;60;99;60;60;32;99;32;32;29;1;1;001;0;1;4;2;4.0
2009;34;99;***;XX;76;99;**;XX;20;2;1;1IT;*;3;9;9;8.0000045203
2020;59;59;***;99;32;32;**;99;22;1;6;000;*;3;9;9;1.0675679574
2020;65;65;31;65;76;76;76;76;63;1;5;000;6;1;3;3;5.1448401777
2020;60;89;***;60;32;27;**;32;84;2;3;000;0;5;9;8;9.6732562085
1968;9;31;***;09;76;76;**;76;69;2;2;000;0;5;9;8;4.0
2020;6;54;***;06;93;44;**;93;93;2;3;000;1;5;9;8;6.0138501865
2014;66;84;66;66;76;93;76;76;38;1;B;000;C;1;4;5;1.0083361676
2009;78;99;***;XX;11;99;**;XX;80;2;2;000;5;6;9;9;1.0472619925
2009;27;27;27;XX;28;28;28;XX;17;1;1;000;2;1;3;5;4.0199004975
1999;95;99;95;78;11;99;11;11;35;2;2;000;6;1;4;5;1.0
2009;91;34;91;XX;11;76;11;XX;29;2;1;000;6;1;4;3;4.018124793
1990;87;16;87;87;75;75;75;75;61;1;2;000;1;1;4;2;4.0
1990;79;95;***;94;75;11;**;11;57;1;2;000;3;2;9;3;4.0
1968;93;45;93;93;11;24;11;11;56;1;2;000;2;1;4;4;4.0
1975;92;88;92;92;11;44;11;11;53;1;2;000;1;1;4;6;5.0
1982;37;37;***;28;24;24;**;24;3;1;1;000;*;6;9;9;4.0
2009;78;14;***;XX;11;28;**;XX;92;2;1;000;1;5;9;8;0.898007365
2020;63;63;63;63;84;84;84;84;54;2;3;000;0;1;4;6;4.3300485979
2014;85;99;44;85;52;99;52;52;17;1;B;000;C;1;2;6;4.1054707667
1990;92;92;93;92;11;11;11;11;26;1;1;000;5;1;4;4;16.0
